epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2412.71,1.17936,0.95293,1.34751,0.86577,0.80125,0.89238,0.61461,1.06449,0.67798,1.18788,0.000924352,0.000924352,0.000924352
92,2436.17,1.15024,0.93428,1.3244,0.87113,0.81778,0.90555,0.63622,1.02661,0.65282,1.17278,0.0009161,0.0009161,0.0009161
93,2462.53,1.17681,0.93722,1.33389,0.83567,0.8139,0.88387,0.61184,1.04138,0.68943,1.17429,0.000907848,0.000907848,0.000907848
94,2487.42,1.16516,0.95129,1.33301,0.87224,0.79923,0.9003,0.62794,1.04035,0.65091,1.15584,0.000899597,0.000899597,0.000899597
95,2510.8,1.16902,0.94164,1.333,0.86932,0.81418,0.89597,0.61864,1.03173,0.66793,1.16135,0.000891345,0.000891345,0.000891345
96,2533.23,1.14735,0.92893,1.3304,0.86296,0.81529,0.89328,0.61497,1.03218,0.70901,1.16457,0.000883093,0.000883093,0.000883093
97,2556.91,1.18442,0.96502,1.35149,0.87187,0.79911,0.89435,0.61817,1.04474,0.66741,1.16385,0.000874842,0.000874842,0.000874842
98,2580.82,1.16369,0.93624,1.32442,0.87498,0.8122,0.89747,0.6276,1.02171,0.64646,1.15797,0.00086659,0.00086659,0.00086659
99,2603.02,1.15793,0.92465,1.3424,0.83356,0.83394,0.89468,0.61443,1.05501,0.66965,1.17305,0.000858338,0.000858338,0.000858338
100,2628.39,1.16216,0.94617,1.33239,0.83267,0.81781,0.88867,0.61727,1.02966,0.68626,1.16347,0.000850087,0.000850087,0.000850087
101,2652.41,1.16582,0.9099,1.34646,0.83986,0.83469,0.88967,0.61444,1.02764,0.68092,1.15857,0.000841835,0.000841835,0.000841835
102,2676.02,1.16483,0.93626,1.33155,0.83269,0.81772,0.86979,0.60434,1.02796,0.74739,1.16059,0.000833583,0.000833583,0.000833583
103,2698.26,1.15294,0.90389,1.3309,0.87146,0.81791,0.90309,0.63446,1.00883,0.63391,1.14828,0.000825332,0.000825332,0.000825332
104,2722.64,1.15665,0.90561,1.32211,0.88203,0.80834,0.89425,0.61894,1.03416,0.67079,1.15929,0.00081708,0.00081708,0.00081708
105,2746.62,1.17157,0.92528,1.32733,0.84908,0.82573,0.89386,0.62703,1.00259,0.67883,1.12895,0.000808828,0.000808828,0.000808828
106,2771.23,1.16982,0.93267,1.33472,0.859,0.82969,0.90037,0.62857,1.01875,0.65468,1.14684,0.000800577,0.000800577,0.000800577
107,2794.07,1.17994,0.94173,1.33211,0.87807,0.81944,0.9043,0.64162,0.99388,0.63458,1.13247,0.000792325,0.000792325,0.000792325
108,2819.52,1.16353,0.92359,1.32631,0.8629,0.8378,0.90661,0.6336,1.01157,0.63503,1.14934,0.000784073,0.000784073,0.000784073
109,2843.38,1.14728,0.88617,1.31702,0.85041,0.83335,0.89549,0.63028,1.00195,0.63788,1.13645,0.000775822,0.000775822,0.000775822
110,2866.57,1.13225,0.91042,1.31664,0.87863,0.81274,0.89846,0.62815,1.00648,0.65395,1.13379,0.00076757,0.00076757,0.00076757
111,2889.98,1.13003,0.89768,1.31612,0.87896,0.81613,0.90652,0.6471,0.98067,0.62615,1.12034,0.000759318,0.000759318,0.000759318
112,2917.08,1.13751,0.88963,1.31471,0.8544,0.82267,0.89597,0.63012,1.00241,0.64876,1.14563,0.000751067,0.000751067,0.000751067
113,2940.85,1.1314,0.89309,1.3114,0.83555,0.83103,0.88601,0.63167,1.00552,0.67764,1.14687,0.000742815,0.000742815,0.000742815
114,2963.69,1.17211,0.94101,1.33967,0.87349,0.825,0.90723,0.64232,0.98721,0.62577,1.12185,0.000734564,0.000734564,0.000734564
